app_id,category,monthly_active_users,ln_mau,app_rating,num_reviews,price,is_free,months_since_update,size_group
APP0001,Productivity,473713,13.068,3.1,10401,0.0,True,4,"Large
(>100K)"
APP0002,Education,166474,12.023,2.2,5983,9.99,False,3,"Large
(>100K)"
APP0003,Health & Fitness,5000000,15.425,3.4,219330,1.99,False,2,"Large
(>100K)"
APP0004,Gaming,1144958,13.951,3.0,93130,0.0,True,13,"Large
(>100K)"
APP0005,Social Media,21211,9.962,1.9,18590,0.0,True,0,"Medium
(10K–100K)"
APP0006,Social Media,585183,13.28,3.0,12403,0.0,True,6,"Large
(>100K)"
APP0007,Social Media,163950,12.007,3.2,48389,0.99,False,19,"Large
(>100K)"
APP0008,Education,1589054,14.279,3.2,70695,0.99,False,4,"Large
(>100K)"
APP0009,Gaming,134755,11.811,2.9,11963,0.99,False,16,"Large
(>100K)"
APP0010,Health & Fitness,372463,12.828,2.6,64350,0.0,True,0,"Large
(>100K)"
APP0011,Social Media,943621,13.757,3.7,15657,1.99,False,3,"Large
(>100K)"
APP0012,Education,1621128,14.299,4.3,146942,0.0,True,1,"Large
(>100K)"
APP0013,Health & Fitness,73097,11.2,1.4,9503,0.0,True,7,"Medium
(10K–100K)"
APP0014,Social Media,267867,12.498,2.4,39717,0.0,True,23,"Large
(>100K)"
APP0015,Social Media,216984,12.288,3.2,26293,0.0,True,1,"Large
(>100K)"
APP0016,Social Media,166043,12.02,2.7,285604,0.0,True,6,"Large
(>100K)"
APP0017,Productivity,5000000,15.425,4.0,106369,0.0,True,1,"Large
(>100K)"
APP0018,Gaming,812176,13.607,2.7,28248,0.0,True,4,"Large
(>100K)"
APP0019,Productivity,66747,11.109,2.8,3426,0.0,True,3,"Medium
(10K–100K)"
APP0020,Productivity,1752918,14.377,3.3,50759,0.0,True,21,"Large
(>100K)"
APP0021,Gaming,5000000,15.425,4.1,106414,0.0,True,5,"Large
(>100K)"
APP0022,Social Media,2081705,14.549,3.6,472492,0.0,True,2,"Large
(>100K)"
APP0023,Productivity,45294,10.721,2.8,29183,0.0,True,0,"Medium
(10K–100K)"
APP0024,Productivity,213982,12.274,2.8,9265,0.0,True,0,"Large
(>100K)"
APP0025,Gaming,2959014,14.9,3.1,55351,0.0,True,1,"Large
(>100K)"
APP0026,Health & Fitness,153046,11.938,2.9,24747,0.0,True,1,"Large
(>100K)"
APP0027,Social Media,860896,13.666,3.4,28851,0.0,True,11,"Large
(>100K)"
APP0028,Gaming,1414025,14.162,3.0,177918,0.0,True,4,"Large
(>100K)"
APP0029,Gaming,110150,11.61,2.8,13782,0.0,True,4,"Large
(>100K)"
APP0030,Social Media,404623,12.911,4.2,4962,4.99,False,0,"Large
(>100K)"
APP0031,Gaming,3422,8.138,2.2,4304,0.0,True,11,"Small
(<10K users)"
APP0032,Social Media,95169,11.463,2.6,82932,0.0,True,7,"Medium
(10K–100K)"
APP0033,Social Media,302896,12.621,3.7,11632,0.0,True,0,"Large
(>100K)"
APP0034,Education,68072,11.128,2.5,4616,0.0,True,7,"Medium
(10K–100K)"
APP0035,Education,5000000,15.425,2.5,322222,0.0,True,4,"Large
(>100K)"
APP0036,Health & Fitness,51781,10.855,2.2,8823,0.0,True,0,"Medium
(10K–100K)"
APP0037,Productivity,228646,12.34,2.0,42710,0.0,True,3,"Large
(>100K)"
APP0038,Social Media,538267,13.196,3.0,428966,0.0,True,3,"Large
(>100K)"
APP0039,Gaming,3843561,15.162,3.5,149820,0.0,True,1,"Large
(>100K)"
APP0040,Productivity,51339,10.846,3.4,2250,0.99,False,17,"Medium
(10K–100K)"
APP0041,Social Media,2532571,14.745,3.6,25352,9.99,False,11,"Large
(>100K)"
APP0042,Gaming,449256,13.015,2.8,13837,4.99,False,6,"Large
(>100K)"
APP0043,Social Media,101492,11.528,3.2,9724,9.99,False,3,"Large
(>100K)"
APP0044,Education,884833,13.693,2.0,492866,0.0,True,3,"Large
(>100K)"
APP0045,Productivity,596353,13.299,3.4,22420,0.0,True,6,"Large
(>100K)"
APP0046,Gaming,179813,12.1,3.1,20916,0.0,True,4,"Large
(>100K)"
APP0047,Productivity,491247,13.105,2.4,35033,0.0,True,0,"Large
(>100K)"
APP0048,Gaming,248209,12.422,3.4,86136,2.99,False,4,"Large
(>100K)"
APP0049,Gaming,524539,13.17,3.1,500000,0.0,True,9,"Large
(>100K)"
APP0050,Social Media,1194449,13.993,3.2,38465,4.99,False,3,"Large
(>100K)"
APP0051,Education,4775576,15.379,4.0,122503,0.0,True,0,"Large
(>100K)"
APP0052,Health & Fitness,69097,11.143,4.1,26045,2.99,False,9,"Medium
(10K–100K)"
APP0053,Education,5000000,15.425,3.9,500000,0.0,True,1,"Large
(>100K)"
APP0054,Education,23667,10.072,2.6,28955,0.0,True,1,"Medium
(10K–100K)"
APP0055,Gaming,352329,12.772,2.8,55191,0.0,True,1,"Large
(>100K)"
APP0056,Education,1069258,13.882,2.9,43253,0.0,True,2,"Large
(>100K)"
APP0057,Social Media,674338,13.421,3.7,93524,0.0,True,8,"Large
(>100K)"
APP0058,Social Media,173850,12.066,2.4,58876,0.0,True,4,"Large
(>100K)"
APP0059,Social Media,323779,12.688,3.1,68516,0.99,False,1,"Large
(>100K)"
APP0060,Productivity,211186,12.26,2.7,33427,0.0,True,12,"Large
(>100K)"
APP0061,Productivity,182764,12.116,3.2,58265,0.0,True,12,"Large
(>100K)"
APP0062,Productivity,1582320,14.274,3.5,370525,0.0,True,12,"Large
(>100K)"
APP0063,Health & Fitness,755793,13.536,4.1,264873,2.99,False,1,"Large
(>100K)"
APP0064,Productivity,156472,11.961,2.6,31162,0.0,True,3,"Large
(>100K)"
APP0065,Productivity,1705552,14.349,3.3,79140,0.0,True,25,"Large
(>100K)"
APP0066,Gaming,701481,13.461,2.5,56659,0.0,True,8,"Large
(>100K)"
APP0067,Social Media,1497478,14.219,3.1,370735,0.0,True,0,"Large
(>100K)"
APP0068,Health & Fitness,1137613,13.944,3.7,26245,0.0,True,0,"Large
(>100K)"
APP0069,Social Media,127581,11.757,3.1,18913,0.0,True,3,"Large
(>100K)"
APP0070,Education,190942,12.16,2.3,10464,0.0,True,14,"Large
(>100K)"
APP0071,Health & Fitness,1357208,14.121,4.0,83386,1.99,False,4,"Large
(>100K)"
APP0072,Social Media,1105220,13.916,4.1,316977,0.0,True,4,"Large
(>100K)"
APP0073,Social Media,428757,12.969,3.4,40305,0.0,True,0,"Large
(>100K)"
APP0074,Health & Fitness,527545,13.176,4.3,39995,0.0,True,6,"Large
(>100K)"
APP0075,Health & Fitness,3007131,14.916,3.2,29773,4.99,False,10,"Large
(>100K)"
APP0076,Health & Fitness,182160,12.113,2.4,39561,0.0,True,2,"Large
(>100K)"
APP0077,Health & Fitness,1005148,13.821,2.4,137461,1.99,False,8,"Large
(>100K)"
APP0078,Social Media,326671,12.697,3.7,345681,0.0,True,20,"Large
(>100K)"
APP0079,Productivity,319169,12.673,3.5,17491,0.0,True,1,"Large
(>100K)"
APP0080,Social Media,2299414,14.648,3.5,159773,0.0,True,4,"Large
(>100K)"
APP0081,Education,1525945,14.238,3.5,119343,1.99,False,2,"Large
(>100K)"
APP0082,Gaming,1498933,14.22,2.5,500000,0.0,True,9,"Large
(>100K)"
APP0083,Productivity,3135246,14.958,5.0,140395,1.99,False,5,"Large
(>100K)"
APP0084,Social Media,456573,13.032,3.2,47100,0.99,False,6,"Large
(>100K)"
APP0085,Productivity,1230497,14.023,3.4,154479,0.0,True,9,"Large
(>100K)"
APP0086,Productivity,277784,12.535,3.5,28328,0.0,True,3,"Large
(>100K)"
APP0087,Health & Fitness,719455,13.486,3.5,28375,0.0,True,14,"Large
(>100K)"
APP0088,Gaming,363954,12.805,3.0,35480,0.0,True,4,"Large
(>100K)"
APP0089,Education,511700,13.145,2.8,133887,4.99,False,1,"Large
(>100K)"
APP0090,Gaming,1080285,13.893,3.3,19582,1.99,False,7,"Large
(>100K)"
APP0091,Social Media,129659,11.773,3.7,14439,0.0,True,9,"Large
(>100K)"
APP0092,Health & Fitness,5000000,15.425,4.6,98697,0.0,True,2,"Large
(>100K)"
APP0093,Health & Fitness,97828,11.491,3.7,41226,4.99,False,11,"Medium
(10K–100K)"
APP0094,Gaming,71590,11.179,2.1,1230,0.0,True,14,"Medium
(10K–100K)"
APP0095,Health & Fitness,2513448,14.737,3.1,67442,9.99,False,1,"Large
(>100K)"
APP0096,Gaming,1450609,14.187,3.1,133605,0.0,True,24,"Large
(>100K)"
APP0097,Gaming,1128251,13.936,3.2,454781,0.0,True,0,"Large
(>100K)"
APP0098,Productivity,1135425,13.943,4.0,64544,0.0,True,1,"Large
(>100K)"
APP0099,Social Media,434360,12.982,2.2,16631,0.0,True,1,"Large
(>100K)"
APP0100,Social Media,115164,11.654,3.5,107010,0.0,True,13,"Large
(>100K)"
APP0101,Social Media,495690,13.114,3.1,6331,0.0,True,6,"Large
(>100K)"
APP0102,Gaming,160212,11.984,2.5,1041,0.0,True,0,"Large
(>100K)"
APP0103,Productivity,1910125,14.463,3.0,179541,4.99,False,3,"Large
(>100K)"
APP0104,Gaming,354837,12.779,2.0,15079,0.99,False,5,"Large
(>100K)"
APP0105,Education,128252,11.762,3.2,3582,0.0,True,0,"Large
(>100K)"
APP0106,Social Media,273189,12.518,2.8,52279,0.0,True,12,"Large
(>100K)"
APP0107,Productivity,821919,13.619,2.6,72263,0.0,True,9,"Large
(>100K)"
APP0108,Health & Fitness,189930,12.154,2.3,8489,0.0,True,4,"Large
(>100K)"
APP0109,Social Media,128884,11.767,2.5,2635,0.0,True,20,"Large
(>100K)"
APP0110,Social Media,637641,13.366,4.2,125413,0.0,True,3,"Large
(>100K)"
APP0111,Productivity,638865,13.367,3.0,96201,0.0,True,24,"Large
(>100K)"
APP0112,Social Media,206816,12.24,2.1,15877,0.0,True,6,"Large
(>100K)"
APP0113,Education,218260,12.293,2.8,171222,0.0,True,6,"Large
(>100K)"
APP0114,Health & Fitness,626607,13.348,3.2,12020,0.0,True,1,"Large
(>100K)"
APP0115,Gaming,50406,10.828,1.0,926,9.99,False,12,"Medium
(10K–100K)"
APP0116,Education,53573,10.889,2.5,2645,0.0,True,3,"Medium
(10K–100K)"
APP0117,Health & Fitness,150592,11.922,2.9,13136,0.0,True,1,"Large
(>100K)"
APP0118,Social Media,321203,12.68,3.4,34059,0.0,True,0,"Large
(>100K)"
APP0119,Education,705287,13.466,4.2,35724,0.0,True,4,"Large
(>100K)"
APP0120,Gaming,4045170,15.213,4.1,294458,4.99,False,4,"Large
(>100K)"
APP0121,Health & Fitness,1601561,14.286,3.3,20482,0.0,True,7,"Large
(>100K)"
APP0122,Education,348046,12.76,2.4,153367,1.99,False,13,"Large
(>100K)"
APP0123,Productivity,429972,12.971,4.7,29103,0.0,True,0,"Large
(>100K)"
APP0124,Social Media,98341,11.496,2.7,37711,0.0,True,7,"Medium
(10K–100K)"
APP0125,Social Media,430296,12.972,3.0,48487,9.99,False,1,"Large
(>100K)"
APP0126,Productivity,286935,12.567,3.0,40203,0.0,True,11,"Large
(>100K)"
APP0127,Health & Fitness,717894,13.484,3.5,95892,0.0,True,10,"Large
(>100K)"
APP0128,Education,127919,11.759,2.9,20838,0.0,True,4,"Large
(>100K)"
APP0129,Social Media,964166,13.779,2.9,132519,0.0,True,7,"Large
(>100K)"
APP0130,Gaming,4408779,15.299,3.2,500000,2.99,False,2,"Large
(>100K)"
APP0131,Productivity,375817,12.837,3.2,36508,0.0,True,3,"Large
(>100K)"
APP0132,Social Media,808202,13.603,2.9,124599,0.0,True,10,"Large
(>100K)"
APP0133,Social Media,1245709,14.035,3.1,67540,0.0,True,3,"Large
(>100K)"
APP0134,Productivity,242357,12.398,3.0,114310,0.0,True,2,"Large
(>100K)"
APP0135,Education,619172,13.336,3.1,19096,0.0,True,4,"Large
(>100K)"
APP0136,Productivity,450849,13.019,3.9,289595,0.0,True,10,"Large
(>100K)"
APP0137,Gaming,512222,13.147,1.5,35207,0.0,True,2,"Large
(>100K)"
APP0138,Health & Fitness,138757,11.84,3.6,2334,0.99,False,1,"Large
(>100K)"
APP0139,Productivity,458981,13.037,3.9,39463,0.0,True,7,"Large
(>100K)"
